,problem,Link,comments,Category,Title,Statement,Comments,Label_Updated,New_Label,
135,New Member,/forums/discuss/new-member-636888,19,Bronchitis,New Member,"Hi I’ve recently been diagnosed with Bronchiectasis after a bout of pneumonia in September. 
I have been given no proper information on the management of this condition eg the dos and do nots. I am quite breathless most of the time but apparently do not have a chest infection at the moment. The only thing I use is a ventolin inhaler which helps temporarily. I am waiting to see a lung consultant next month but am also just about to start radiotherapy so am bit worried about my energy levels throughout with travelling etc
Any information/ tips would be greatly received 
Thanks
Nicky "," Hi Nick, sorry to hear you have joined the bronchiectasis club.  Your&#160;consultant will give you some ideas on how to control it: breathing exercises etc&#160;    i tend to stay away from dairy products, they don&#39;t help.    walking and swimming are the best to make you feel good and keep the cough&#160;  under control.&#160; ",positive,neutral,
136,Fatigue ..,/forums/discuss/fatigue--600464,10,Bronchitis,Fatigue ..,I don&#39;t know anyone else with our disease but is it normal to feel ok and then bam!! U feel like u hit a brick wall of fatigue and u have to close your eyes even if it&#39;s a 10 min nap.. ?,"Yes, unfortunately.  You will learn how to husband your energy, keeping in mind always that one needs enough energy to return from any journey undertaken.",negative,negative,
138,when to take antibiotics,/forums/discuss/when-to-take-antibiotics-662836,6,Bronchitis,when to take antibiotics," I was diagnosed with bronchiectasis by a chance CT scan – I have no symptoms. Apparently I am supposed to take antibiotics as a precaution if I get a cough, to stop infection getting into my lungs. So my question is when do I take them? I have had a cold now for a couple of days plus a mild cough – should I get antibiotics from my GP now or wait for a week or more? I really don&#39;t want to take them at all, for all the usual reasons. "," If you&#39;re supposed to take them as a precaution, and you have a cold/cough now, I&#39;d suggest getting something now. It&#39;s better to stamp out an infection early than wait and have it get worse. ",positive,neutral,
141,Ive had it,/forums/discuss/ive-had-it-677251,6,Bronchitis,Ive had it," I&#39;ve had B for 12yrs.. &#160;last couple of years its been getting worst. &#160; I cough ALL day.... &#160; thankful not so much while asleep. &#160; &#160;I cough till a choke.... &#160;I rarely cough stuff up... its a dry cough, sometimes feels like I am breathing thru a pillow. &#160; AGH*&amp;%#*&amp;%&amp;. &#160; &#160;anyone else like this?? &#160; cough cough cough . &#160;I take Symbicort 2x twice a day.... &#160; &#160;and ( If I remember) Spiriva at lunch time. &#160;If hard to breathe I can use Salbutamol .... &#160;also suck on cough drops all day long too... :-(&#160; ","I used to cough all day and wake up at night coughing a lot too but my respirologist started me on azithromycin and all the coughing stopped



 ",negative,positive,
144,Has anyone ever been diagnosed with Mycobacterium?,/forums/discuss/has-anyone-ever-been-diagnosed-with-mycobacterium--685498,7,Bronchitis,Has anyone ever been diagnosed with Mycobacterium?,"My sputum culture appears to  be growing MAC, a mycobacteria and I AM VERY WORRIED. I know that is a bad diagnosis and difficult to treat. HAVE any of you bx friends ever had this?","Hi there
This I believe is tuberculosis which is successfully treat with a long course of anti biotics.  Have you been advised that this is the treatment for mycobactrium? 
Try not to worry I'm sure you will be ok once you started treatment.
Take Care
Rachel ",positive,neutral,
145,Chest & back pain ! Is it due to Bronchiectasis ?,/forums/discuss/chest-back-pain-is-it-due-to-bronchiectasis--402320,29,Bronchitis,Chest & back pain ! Is it due to Bronchiectasis ?,"Hi everyone,
 I was diagnosed with Bronchiectasis in both lungs in February 2015, cause is unknown at the moment but was sent for a CT scan after coughing up blood for 5 days over the new year. 
My query is does anyone else suffer with chest & back pain on a daily basis & a burning sensation in the chest regardless of me eating or not. Have tried taking gaviscon for the burning as thought it could be heartburn but it doesn't help at all. Had these symptoms for four months now & haven't found any tablets that help to reduce the pain in my chest & back or anything to help with the burning sensation. 
Hope someone can help with any advice at all as its getting a tad bit annoying now lol. 
Lookforward to hearing from you folks. 
Thanks in advance, Dave :-)",Hi Dave yes I get pains in my back chest I use to get a burning sensation in my chest but thankfully that's gone I do get breathing troubles though I'm going to see my chest specialist this month and hope he can make my life a little better all the best ,positive,negative,
149,Anyone have good experiences about VATS Biopsy?,/forums/discuss/anyone-have-good-experiences-about-vats-biopsy--603354,2,Bronchitis,Anyone have good experiences about VATS Biopsy?," I decided to go ahead with the minimally invasive, general anesthesia (VATS) with one incision, inpatient surgery. So it would be nice to hear that others didn&#39;t have a bad time with it! THANK YOU ",How do you feel.       Hope you are up and about,positive,negative,
150,Email notifications,/forums/discuss/email-notifications-750882,3,Bronchitis,Email notifications,i used to get notifications by email when a new topic or a reply took place. this has stopped......can anyone tell me why? It means i have to keep checking just in case!,im not notified any longer either. Why?,negative,negative,
154,Pain in ribs,/forums/discuss/pain-in-ribs-678442,5,Bronchitis,Pain in ribs,"I have bx and have had it while,I have a part collapsed lung on the the side and I experience a dull pain in the left side of my ribs ,does any one else have this 
Thanks jo ","@Jockeys yes, I will have sharp pains at times, like runners stitches, during exertion or rest, and then dull pains at times. Sometimes the pains are in the chest, sometimes in my back. I wish you all the best!",neutral,negative,
155,Sick of my lungs ..😞,/forums/discuss/sick-of-my-lungs--599857,9,Bronchitis,Sick of my lungs ..😞,I live in Canada and I&#39;m now over 40 .. I&#39;m finding my lungs the worst they have ever been .. feeling frustrated with all the rain we have had I think that&#39;s why ??,Hi Lisa. I live in Louisiana (U.S.) and it is always humid. Last few months we have been having a lot of rain.  Pollen count has been high and air quality is fair today. On these days I stay inside which is depressing after a few days.  I feel your frustration but we have to stay positive.  I find that reading other people&#39;s positive posts helps me.  I pray every day for relief and a miracle. Also I thank God for each day.      I sincerely hope you feel better soon. Sending you a hug.,positive,negative,
157,Good days?,/forums/discuss/good-days--651579,5,Bronchitis,Good days?," Feedback please...I was diagnosed with asthma, bx and pseudamonas years ago. Was wondering how many days others can be off antibiotics between flares? Could you please state if you have bx alone or what overlapping diagnosis. &#160;Asked similar question yesterday but only got one response so far (thank you operalyn!)...thank for for any responses&#128522; "," Hi Debra,  I&#39;m probably not a typical example because my flare up seems to come in October - January. Then I&#39;m &#39;well&#39; again.&#160;  Janet ",neutral,neutral,
159,Really considering  surgery,/forums/discuss/really-considering-surgery-582628,8,Bronchitis,Really considering surgery,I am 33 and profalactic antibiotics  but still get infections on them  I can&#39;t face another 30 years feeling ill and the time with chest infections  and pain . Has anyone had surgery,Hi. I have it in my sinuses and have been on antibiotics for years. I have had the balloon procedure twice. Now have another infection and back on Cipro. He talked about surgery yesterday and I think I am going to do this in June. It freaks me out. I&#39;m like a germ freak now!,negative,neutral,
160,"                    how, why, when?                ",/forums/discuss/how-why-when--632665,14,Bronchitis,"how, why, when?"," I can&#39;t understand how I could have sustained such terrible damage to my lungs sometime in my life without even knowing about it?  How can it be that it went undiagnosed all these years, no symptoms, gets found on a CT scan of the pancreas by chance, and then I immediately start getting symptoms when I&#39;m 72? Just coincidence??  Nothing makes sense.  Sorry, morning rant, I wake up angry and scared and alone and just want answers! ",It&#39;s a bit of a mystery is bronchiectasis especially as it sort of vanished from public consciousness for a couple of decades. It was sadly much more common in the 50s and 60s when I was diagnosed. Whooping cough and measles were often the culprit and when the vaccine arrived for both of them this prevented the lung damage that the wretched diseases left behind. I knew someone who had it from swallowing a baby tooth and it going to her lungs rather than her stomach!  It&#39;s a bit of a mystery but something will have caused the damage which may not have troubled you until recently. No idea in other words! However you are making yourself unhappy trying to work out why - and you may never find the answer. Concentrate on keeping the ##$$**** thing under control!,neutral,,
163,"                    Bronchiectasis with frequent infections and exacerbations, help and advice will be much appreciated                ",/forums/discuss/bronchiectasis-with-frequent-infections-and-exacerbations-help-and-advice-will-be-much-appreciated-543668,28,Bronchitis,"Bronchiectasis with frequent infections and exacerbations, help and advice will be much appreciated"," Hi, my mother is 60 years of age and has been told she has bronchiectasis about 3 months ago, and less than 30% lung function left. For a long time (particularly the past 2 years) she has been getting frequent chest infections and been treated with 1 week courses of antibiotics and steriods. After finishing a course she would be ok for a week, by the end of that week her symptoms would return and she would need antibiotics and steriods again. Recently she was put on a 2 week course of antibiotics and steriods which did help at the time but now that she&#39;s finished them, her symptoms of breathlessness and chest tightness etc are returning. My concern is that my mum is unwell almost all of the time and only feels well when she is on these medicines and for a few days after they finish. Literally she is on antibiotics a week on and then a week off and now she&#39;s on them for a week and then not even a week passes by but she needs them again. I feel very sad for her and hate to see her struggle like this and I really want to do something to help her condition and improve her standard of life, by keeping these infections at bay, this is why I am on this forum, to seek advice on how I can help her or what medicines could be helpful and hopefully others can also benefit from the advice given in response to this message.    My mother has the following conditions:    Bronchiectasis (30% lung function)  Acute Kidney Injury stage 2 (30% kidney function)  Diabetes type 2  Servere Sleep Aponea    She is on the following medications:    Morning:    1 Aspirin Tablet 75mg  1 Diltiazem Capsule 60mg  1 Lansoprazole 30 mg  1 Glicazide Tablet  1 Adcal D3 Soluable Tablet 1500mg    Night:    1 Diltiazem Capsule 60mg  1 Lansoprazole 30mg  1 Pravastatin Tablet 40mg  1 Montelukast Tablet 10mg  1 Adcal D3 Soluable Tablet 1500mg    Inhalers:    Fostair Next Inhaler 100/6mg - Twice a day  Spiriva Inhaler - Once every morning  Salbutamol Inhaler- As and when needed    Other:    Fluticasone furoate 27.5mg Nasal Spray - twice daily    Carbocsteine - 1 three times a day        I will be very grateful for any advice, suggestions, tips, recommendations, natural remedies, or experiences shared. Thank you for reading my post and for your help in advance.     "," Yasminess,      Sorry to hear about your mum. There is help  out there in communities.    Your mum should ask for an appointment&#160;  with a physio. They will show her some  breathing exercises she can do lying down or  sitting at a table.    Exercises will help her drain her lungs and&#160;  she will have less infections. It will also  increase her lung capacity so she should  get higher than 30%.    Also, some patients take a low dose antibiotics  all the time. That was offered to me but I turned  it down. I&#39;m lucky to only have mild bronchiectasis.    I do the breathing exercises once a day, a few times a week,  more if I have an infection.    I don&#39;t eat eggs or use milk. Those make my cough a lot worse.    Hope some of that helps.  I live in UK so that is where my knowledge is coming from.    Keep an eye on the press.  Clinical trials are beginning to to be&#160;  run regarding Stem Cells and bronchiectasis.&#160; ",neutral,neutral,
164,"                    Found  an inhaler that works, but now my Medicare Insurance won't cover it.                ",/forums/discuss/found-an-inhaler-that-works-but-now-my-medicare-insurance-won-t-cover-it--567773,10,Bronchitis,"Found an inhaler that works, but now my Medicare Insurance won't cover it."," Three months ago my specialist started me on a new inhaler, Dulera, it has made a huge improvement with my Bronchiectasis issues. He gave me a 3 month supply of samples from his office. &#160;Now I have a prescription and the Medicare prescription plan (Humana) won&#39;t cover it, because it&#39;s not USDA approved. I&#39;m having to take Symbicort, which is similar. &#160;Hopefully, this will work just as good.    That&#39;s the government for you, Beth ",Hi. I use Advair 250/50 twice daily. My doc put me on Dulara for a few months and I totally went hourse then lost my voice totally so went back to Advair. Be sure to rinse mouth out well after using it. Not sure about coverage sorry. Good luck butbthere are other options as this does get costly,negative,negative,
168,Apple Cider Vinegar,/forums/discuss/apple-cider-vinegar-666534,6,Bronchitis,Apple Cider Vinegar,Has anyone heard whether Apple Cider Vinegar ( with the mother) is good for Bronchiectasis? ,I&#39;ve heard this although haven&#39;t tried it yet - and wonder what sort of &#39;dose&#39; might be recommended.&#160; I discovered turmeric supplements (as being effective in managing bronchX) via this site and have started to take them - but not for sufficient time as yet to know how effective they might be.,neutral,neutral,
171,antibiotics and Bronchiectasis.,/forums/discuss/antibiotics-and-bronchiectasis--582358,30,Bronchitis,antibiotics and Bronchiectasis.,"Hi all
I have a bad chest infection in Jan-Feb and after a scan was diagnosed with Bronchiectasis.I began to fill unwell again last week (Monday) and the doctor said I had another chest infection. I was given Doxycycline ( 1 tablet a day) but my synonyms do not seem any better. I was given a three week course.  My health providers seem little informed about this condition and seem to regard it as a rather insignificant matter but for me its very debilitating. Best Wishes to all. Peter"," Welcome to the world of bronchiectasis. I was sick every few weeks with a chest infection last year when I was diagnosed. I&#39;ve been on more steroids and antibiotics in the past year than all my years combined. Have you seen a pulmonary specialist yet?  If not, you should ask for a referral. You are right, general health providers seem to be ill informed. You will have to be a strong advocate for yourself. It seems that only people with bronchiectasis realize how debilitating it can be. Doxycycline usually works well for me, but everyone is different with different bugs. If they do a sputum culture, they can determine which antibiotics work best. Best wishes.  ",positive,positive,
177,Psuedomonas Colonization in lungs,/forums/discuss/psuedomonas-colonization-in-lungs-592621,7,Bronchitis,Psuedomonas Colonization in lungs,"I have had asthma all my life, then diagnosed with COPD.  Over the past 5 years I have had a terrible cough.  My Pulmonologist blew it off until 2016 when I was diagnosed with Psuedomonas, but no bronchiectasis. At that time I was put on Tobi in a nebulizer twice a day and Cipro together for one month.  This did very litttle to decrease the cough, and cost me $500 for the Tobi because my insurance would not cover it.  A year later, I still have the cough and still have the psuedomonas, only it is now three times worse according to the lab.  My Pulomonolgist sent me to a infectious disease specialist, and both doctors agreed that there is nothing that can be done for me, no treatment at all!  This is unacceptable to me, so I have started researching where to go to get some type of treatment.  I have never been given that flutter thing that has been mentioned, or a vest, or any other treatment except those two antibiotics for a month last year.  Can anyone recommend a good place to go for evaluation and treatment?  I live in upstate NY, but I am willing to go anywhere in the U.S.that will take my health insurance to find some type of treatment! I would really appreciate any suggestions, thank you.",Hi Heather! My docs (first several in NE PA then Philadelphia) all specialists have said the same thing. Nothing much can be done. Really upsetting. I was sent home with the little flutter thing (handheld) but not really told what to do with it. Been on repeated rounds of levaquin over the last 3 yrs but felt pretty lousy and don&#39;t get much better even after 3 weeks on it. Told to avoid crowds and sick people. I cannot work any more and I&#39;m only 50. I did also consult a specialist in the Brooklyn as well. Dr&#39;s don&#39;t know much about it-I think they all just guess. Have not been told much of anything to help. Pseudamonas is really not fun. I hope you find something great and share with us all. I hope that stem cell stuff or that one therapy mentioned on here where they filter antibodies from blood and replace them similar to a dialysis treatment  (can&#39;t think of the name of it right now)become an answer for us all. It sounded super promising.  I asked my specialist in Philly about the new treatment because I was so excited to hear about it but he was not encouraging about it at all! Best of luck!!&#128522;,neutral,neutral,
178,"                    bad coughing on returning back to UK , after holiday abroad.                ",/forums/discuss/bad-coughing-on-returning-back-to-uk-after-holiday-abroad--708932,11,Bronchitis,"bad coughing on returning back to UK , after holiday abroad.","Hi, I wonder if anyone else has had this same problem please, we go to Lanzarote for three months at a time in the winter to get away from cold damp UK. but when i return to UK i start a lot of mucus and coughing very bad. I had a blood test and it shown it was not a chest infection, i contacted the consultant at the hospital who said it could be inflammation and to just take steroids, that worked last time and im trying them again this time as im exactly the same, in hopes that they work again, It is as if my lungs can not cope with the bad air in the midlands after the nice sea air in Lanzarote, Has any one come across anything like this at all, I would be great full of any thoughts. I do a bit of gardening when i'm in the UK we have carpets unlike the tiled floors in Lanza, I was considering an air purifier as well , I dont know if they would help. Thank you Pam.","Hi pam.
I seem to cough more when I land back in the UK im wondering if it's all the germs on the aeroplane! When you think of how many people are on a flight it's likely you can pick up some germs. Also I have now mainly got wooden flooring all through my house to alleviate allergies. I cough all day every day but I am infection free at the moment. I inclined to think the air is drier and better abroad in a warm country whereas here we have different weather every day. 
My advice is get yrself an aerobika which helps clear the mucus. Use it on a daily basis morning and evening. 
Alternatively move abroad which is my aim in a few years time. 
Good luck
Rachel ",neutral,positive,
180,extreme fatigue,/forums/discuss/extreme-fatigue-707520,7,Bronchitis,extreme fatigue,"Whenever my bronchiectasis flares up, which it does frequently I experience extreme  fatigue.  There is very little I can do except go to bed (and when I do lie down I am normally out like a light within a minute) .  Is this common?  (I've recently been diagnosed with the disease but have been experiencing the fatigue for many months).  
","It's probably safe to assume you've had bronchiectasis for a while before your diagnosis. And I don't know if the fatigue you're describing is common, per se, but I can say you're not alone; on any given day, once I get up in the morning I have about 3-4 hours in which I can be halfway productive before I have to just go back to bed, and then I can sleep for 2-3 hours at a time, easily. It's really disruptive.",negative,neutral,
181,Hoarse from inhalers,/forums/discuss/hoarse-from-inhalers-567833,2,Bronchitis,Hoarse from inhalers,"Hi, I was using Breo 25/100 for a few months. Then when I got an upper respiratory infection Dr. changed it to 25/200. Also I 
Was needing  more pro air. I have been totally hoarse for 5 days. Anyone else had this?","HI, no inhalers for me anymore, they give me liquid neb treatments that I do every day. Three different liquids three or more times a day.  Along with the my flutter device.
 ",neutral,neutral,
187,Bronchietasis,/forums/discuss/bronchietasis-569112,4,Bronchitis,Bronchietasis,I would like to share that I have found a solution called hypertrophic saline which is a decongestant for lungs place this in a nebuliser and it helps me.,Does it require a prescription?,positive,positive,
188,Looking for a little help?.,/forums/discuss/looking-for-a-little-help--646435,5,Bronchitis,Looking for a little help?.," Hello to all.. This is my first time to posting on this website. I have been reading though all the posts lots of great information..&#160;  A little about me. I have being diagnosed with asthma and copd . i am on ventolin and breo. My question and why i came to the bronchiectasis group is the past year and a half i have had pain in my left lung, it feels clogged and sticky with mucus very spongy feeling when i breath in, also first thing in the morning or after a nap if i take a deep breath i get some crackle sounds but they go away after that.. although i don&#39;t have a cough and if i force myself to try to clear my left lung i dont really get anything out. Every month i seem to get a little more tired, Im exhausted, and a little more out of breath. Have also been feeling really unwell just seem to be getting worse with no end in site . I have been to my pulmonologist about it and they say nothings wrong its just my asthma and that i shouldnt have any pain on that side and my lungs sound very clear. I have had 2 CT scans in the past 2 years the latest one 2 months ago which showed them being clear..&#160; My question is could&#160; there be bronchiectasis and not show up on ct scan.. Im just getting very depressed lately on why my lungs feel the way they do with no answers.&#160; Any help or point me in the right direction would be greatly appreciated.. thank you  &#160;          &#160; "," Hi Lawrence. My name is Sue. I know there has been a lady on lately who was initially told she had very mild Bronchiectasis only to have another doctor tell her she is clear. I was diagnosed with mild Bronchiectasis 6 years ago and was told that it was hardly noticeable on the ct scan. Don&#39;t know if that helps, but you will get support from this group. Welcome and I know it is depressing feeling constantly ill. I find the worst feeling so far is the &quot;air hunger&quot; where you feel as if someone has their hand over your mouth and nose. I take&#160; my&#160; inhaler when this happens. It doesn&#39;t&#160; really&#160; help a lot but at least I feel as if&#160; I have some kind of control.  &#160; ",neutral,neutral,
191,Smart Vest?,/forums/discuss/smart-vest--727839,20,Bronchitis,Smart Vest?,"Does anyone with lung issues have an airway clearance system, sometimes called a Smart Vest?
Did Medicare pay for it?
Did you have to pay a co pay or your supplement pay it?","Yes, I have a SmartVest.  Medicare paid (except what is a HEFTY copay because it's an expensive machine) because i met the requirements.  I don't remember all of them, but you have to have had a certain number of AB rounds within some defined period, and then there is the question of whether there's someone available to pound on your chest instead.  I live alone with a dog so that wasn't an issue.  I think I had to demonstrate that a flutter or Acapella had been prescribed and hadn't worked, also.  At the time of those phone interviews, it could still take hours-to-days of huffing & coughing to clear  one glob of mucus, while anyone listening could tell there was plenty more in my lungs.

I do think that a proper hand pounding may be more effective.  Certainly for me myofascial release therapy on spasms in my back helps more, tho that's not available more than once or twice yearly.

IF you go online and buy it yourself, your pulmonologist needs to work out your treatment settings.  Mine wrote the orders and a resp therapist for the company brought me the machine, did the settings, and showed me how to use it.  About once yearly i need replacement vest, hose & filter.",neutral,negative,
192,Tickly dry cough,/forums/discuss/tickly-dry-cough-756502,2,Bronchitis,Tickly dry cough,"Hi , I'm a BX patient, i pretty much always have a cough as such , periodically though, i get a very dry tickly cough , which bizarrely doesn't start until later in the day .
Has anyone else had this ?  If so , did you find the reasoning ?","I cough during the day but the nights are worse  Unfortunately I don't know specifically why.  I suffer with GERD and allergies/sinuses with constant post nasal drip.  The tickling or drip triggers my cough  

",neutral,negative,
194,Help,/forums/discuss/help-562840,3,Bronchitis,Help," My daughter (11) has just been diagnosed with bronchiectasis, for the past 3.5 yrs I&#39;ve battled and despite initially being told there was nothing wrong we have a diagnosis, I&#39;m devastated!!!     At this stage she having a bad episode but no antibiotics, either IV or oral has worked, she&#39;s got some physio devises but I&#39;m just wondering what other people do and what antibiotics have worked for them!! I&#39;m stabbing in the dark here and very desperate!     Thanks    Faye  ","Have you gotten a nebulizer, sodium chloride solution, and acapella? If you have not been instructed, go on youtube and watch videos to see how to expel mucus from lungs.  Do it twice a day. 
Other people on this website will give you more info.  Just relax and know that you have found a great site for obtaining years of experience.help.
Blessings,
Mary Ann",positive,neutral,
195,Finding answers for cough,/forums/discuss/finding-answers-for-cough-646584,2,Bronchitis,Finding answers for cough,"   Hi again ,just want to thank everyone on this site for your post and support where I have learned so much about bronchiectasis. I usually just read post and hate to give advice when I think some because I don&#39;t feel as if I am an expert. Please ignor my rant today , bad night you see.!  After years of having bronchiectasis with extreme flare ups every 2 or three months, for&#160; which I was prescribed&#160; antibiotics or/and steroids , I am very close to solving my vicious cough problem.&#160;  ? After discovering&#160; a small spinal fracture In December cause&#160; by my cough told me the long term&#160; of taking prednisone was resulting in a bone issue. He gave me 7 days of antibiotics which had me back well again. He said no steroids for a while.  &#160; That was 4 months ago. I am in the mist of my spring allergies right now  ?Since then I have changed one of my inhalers , and began trying various antihistamines .  ?I have found That Clariton&#160; used in the morning , my Advair 2 a day , Ventalin 3 day , steroid nasal spray , Zertec at night keep the cough away most days and nights.  ?&#160; I do still have what I call bronchial spasms especially at night . Last night I was awakened at 3:30 with a cough that would not go away.  ?I know it sounds as if I am taking too many things but I am desperate to stop the cough, and hey it works for me.  Thanks &#160; Carol "," Carol, as a side issue...I&#39;ve been taking a lot of steroids too and was prescribed Fosamax to help protect my bones and chewable calcium with vitamin D. Maybe you can explore that?&#160;&#160; ",positive,neutral,
197,"                    Anyone here located in Farnborough hants, Camberley area                ",/forums/discuss/anyone-here-located-in-farnborough-hants-camberley-area-591745,7,Bronchitis,"Anyone here located in Farnborough hants, Camberley area","Could do with some help/advice.  I have had bronchiectasis for more than 10 years.  I saw Dr Ho at Frimley Park Hospital was given some advice but the follow up discontinued after a few years.  I cannot use inhailers as they make me cough, so have no treatment.  I am fortunately free of infections but am often weak and tired.  I am told this is not due to my bronchiectasis as I do not get infections.  I have asked to be referred back to the hospital but was not that is not possible.  Can this be correct?

Thanks"," I would go see my GP (that&#39;s a &#39;general practitioner&#39; - ie equivalent to MD in the US -&#160; for any non-Brit loooking in) in your situation and insist on being referred to a pulmonologist. BronchX is a chronic disease and you are entitled to specialist monitoring. If your GP does not agree to do so for no good reason tell her/him that you want to take that up through whatever appeal processes the practice has or through the &#39;NHS complaints procedure&#39; (google the words I put in quotes) - I&#39;m sure it will not come to that if you are polite but firm in your request to your GP    I distrust the statement that &#39;weakness and tiredness cannot be due to your BronchX as you do not get infections&#39;. Like others on here I often get periods of tiredness and ocassionally exhaustion even though I do not have a full-on infection at the time (and I only get two or three exacerbations per annum anyway - which are usually quickly despatched by a few days of increased antibis).    Tiredness can be caused by reduced oxygen flow (due to restrictions / inflammation / damage to the airways) and/or by the onset of minor infection that your immune system is successfully fighting off and which does not present as an exacerbation.    Tip - when you do get a wave of tiredness try either or both of getting up and walking around briskly for ten minutes or 10 mins of deep &#39;belly breathing&#39; (raising your diaohragm up and down). I figured this would correct for any reduced oxygen flow which might be contributing to (or wholly causing) my tiredness &#39;attacks&#39;. Be careful with deep breathing though - it can make you feel faint if you overdo it. Do it sitting upright in a hard backed chair rather than lounging in a sofa and particularly not doing very strong breathing when standing up (for fear of fainting/falling). I&#39;m not a medic and have not been advised to do this type of response work by any medic - I worked it out for myself and it often seems to clear my tiredness or at least bring it under control. would be interested if it works for other people, though I guess that I should be advising people to try it only after talking it through with a doctor particularly if you have breathing or heart issues ",neutral,neutral,
201,I was diagnosed with Bronchiectasis just before Christmas .,/forums/discuss/i-was-diagnosed-with-bronchiectasis-just-before-christmas--631358,6,Bronchitis,I was diagnosed with Bronchiectasis just before Christmas .,"This was because of a chronic dry cough lasting 8 months.
My consultant has told me it is minor but has offered physio for breathing  and an appt with a cardiologist for the palpitations.

My main symptom is fatigue.
I get really tired after doing not very much and I also get breathless and a bit wheezy.

Is this normal for someone diagnosed as “minor”?

Can anyone help here please?","You have been very fortunate to have been offered a physio appt. unfortunately fatigue and breathless  are common with broncheactesis. You will find that the physio will be very helpful.  Having just suffered a heavy cold, the fatigue is awful but it does go away   I don’t know what they term ‘minor’  because when you read some of the posts on this site you will hear of people who are so much worse than yourself   Good luck and I hope you feel more energetic soon

 ",positive,neutral,
205,dry bronchiectasis,/forums/discuss/dry-bronchiectasis-456106,6,Bronchitis,dry bronchiectasis,"Diagnosed with dry bronchiectasis 8 weeks back. Hospitalised for a week. Spent 3 more weeks in bed, anti biotics for 10 days, ventillion, and symbicort. I continue to have bouts of exhaustion, spending most of my day in bed. Continued tight band across my chest, escalating into servere pain centered and radiating across to the left, and shortness of breath. can anyone help me understand?","Hi Pamela,
Welcome to this site.
I am new to bronchiectasis, diagnosed in May this year.  Personally, I am still coming to terms with having it! 
I had been ill from Sept 2014 to March 2015, constant chest infections, lots of pain in chest/shoulder and was told x-rays were all clear. I finally had a ct scan which showed bronchiectasis middle and lower lobes of right lung.  My symptoms vary day to day, some days exhausted with a tight chest other days its more manageable.
The best thing for me in ""controlling"" things is regular clearance, lots of water and cutting down on dairy.  I also take vitamins, preobotic tablets as suffer with indigestion now which causes pain in chest/shoulder! I also have smaller meals as my body copes with food better.
I have read so much about bronchiectasis (knowledge is good!) and decided that I had to get some control with it.   I have seen a respiratory consultant, had two sessions with a physio who showed me how to use my accapella device, which helps with my breathing issues.  I also have antibiotics at home which I can start immediately I think I have an infection.  I also have sputum pots at home to ensure I get a sample into the docs immediately.  
You are really going thro it and do hope things improve for you very soon.  Did they say what your severe pain was? Where are you at with seeing a resp consultant, physio etc? What other support have you been offered?
There are lots of wonderful people on this site who have helped me so much with answers to my questions. x",positive,neutral,
207,Newly Diagnosed,/forums/discuss/newly-diagnosed-639071,9,Bronchitis,Newly Diagnosed," Hello everybody    firstly can I ask if anyone is near me (Southampton Hampshire UK) it would be good to hear from you if you are&#160;    So a little about me , I have had a productive cough for a little over 2yrs during this time with recurrent chest infections , I do no smoke and never have incidently , I do have an under lining auto immune disease which I have had since 2005 (SLE &amp; Sjogrens), I understand there is a possible predisposition to acquiring bronchiecatsis with SS??    I have recently had an admission to hospital , IV antibiotics, CT scan showed early onset bx , it&#39;s also been complicated by growing two funny bugs in my lungs and harder still that the antibiotics which could help I cannot take due to an allergic reaction last year (Steven-Johnsons Syndrome) :-( , it&#39;s been quite a journey this past 2yrs to reach a diagnosis&#160;    I don&#39;t know anyone else with this condition and understand it isn&#39;t very common?&#160;  I&#39;m assuming that the tiredness, exhaustion, headaches , continuous coughing with or without productivity is the pattern? god isn&#39;t it just miserable :-(&#160;  I live alone and it has made doing so a bigger challenge these past yrs , I find I have more energy in the mornings rather than the rest of the day does it affect anyone else like this?    I do try and do the breathing excercises but currently just can&#39;t seem to get the hang of it&#160;  I was given an Acapella to try from the respiratory team am unsure if I&#39;m doing that correct either&#160;    More Youtube watching me thinks !      Best wishes&#160;    Sharn (not mispelling)&#160;        &#160; ","Hi, I am 70 and have had bronx since I was 9 months old. I acquired pseudomonas  8 years ago which has made the condition much harder to deal with. I do ex as soon as I get up, another short session during the morning and during the evening. The ex I find most useful is postural drainage which is explained on utube. This type of ex I find easier - the head is lower than your backside which, along with deep breathing, leads to automatic drainage of the rubbish off your lungs which is relentless and constant. I never found the acapella much help. Its important not to get tired and to eat a good varied diet. I personally find the really cold weather does not suit my lungs and consequently I stay inside a lot this time of the year. Hope this helps a bit. Regards, Gill",neutral,positive,
211,BronchiectasisI am,/forums/discuss/bronchiectasisi-am-677370,3,Bronchitis,BronchiectasisI am,I am 76 recently diagnosed with this  horrible condition and would welcome any tips from fellow sufferers. I only see a consultant every 6 months and my next appointment is in February 2019! Just need to hear from other people with the same condition Help!," Hi Maggie, I was also diagnosed about 18months ago and it&#39;s hard., but I&#39;ve got used to living with it now,  The worse thing for me is having to leave my job, I&#39;ve gone VR and leaving in December because of the overwhelming tiredness.,but if you manage to do the breathing exercises frequently this will help clear the lungs, and eat as well as you can.  I find you can control it not the other way around. Hope this helps all the best.  ",positive,positive,
